"area","Reporting Economy","Year","value"
"ALB","Bulgaria","2011","16.8207055121452"
"ALB","Croatia","2011","20.7024067841787"
"ALB","Cyprus","2011","152.680250033318"
"ALB","CzechRepublic","2011","-19.4085063601675"
"ALB","France","2011","62.1072203525361"
"ALB","Germany","2011","109.981536040949"
"ALB","Greece","2011","679.297722605864"
"ALB","Hungary","2011","3.88170127203351"
"ALB","Italy","2011","481.330957732155"
"ALB","Netherlands","2011","322.181205578781"
"ALB","Romania","2011","0"
"ALB","Slovenia","2011","10.3512033920894"
"ALB","UnitedKingdom","2011","-1.29390042401117"
"ALB","OtherdevelopedEurope","2011","107.393735192927"
"ALB","Monaco","2011","0"
"ALB","Norway","2011","24.5841080562122"
"ALB","Switzerland","2011","82.8096271367148"
"ALB","NorthAmerica","2011","732.347639990322"
"ALB","Canada","2011","732.347639990322"
"ALB","UnitedStates","2011","0"
"ALB","Otherdevelopedcountries","2011","1.29390042401117"
"ALB","Israel","2011","1.29390042401117"
"ALB","Developingeconomies","2011","430.868841195719"
"ALB","Africa","2011","1.29390042401117"
"ALB","NorthAfrica","2011","1.29390042401117"
"ALB","Egypt","2011","1.29390042401117"
"ALB","Asia","2011","429.574940771708"
"ALB","EastAsia","2011","0"
"ALB","China","2011","0"
"ALB","WestAsia","2011","429.574940771708"
"ALB","Kuwait","2011","11.6451038161005"
"ALB","Lebanon","2011","40.1109131443462"
"ALB","SaudiArabia","2011","0"
"ALB","Turkey","2011","364.87991957115"
"ALB","UnitedArabEmirates","2011","12.9390042401117"
"ALB","Transitioneconomies","2011","24.5841080562122"
"ALB","South-EastEurope","2011","24.5841080562122"
"ALB","Montenegro","2011","-2.58780084802234"
"ALB","TheFYRofMacedonia","2011","20.7024067841787"
"ALB","Yugoslavia(former)","2011","0"
"ALB","Unspecified","2011","182.439959785575"
"ALB","World","2012",".."
"ALB","Developedeconomies","2012",".."
"ALB","Europe","2012",".."
"ALB","EuropeanUnion","2012",".."
"ALB","Austria","2012",".."
"ALB","Bulgaria","2012",".."
"ALB","Croatia","2012",".."
"ALB","Cyprus","2012",".."
"ALB","CzechRepublic","2012",".."
"ALB","France","2012",".."
"ALB","Germany","2012",".."
"ALB","Greece","2012",".."
"ALB","Hungary","2012",".."
"ALB","Italy","2012",".."
"ALB","Netherlands","2012",".."
"ALB","Romania","2012",".."
"ALB","Slovenia","2012",".."
"ALB","UnitedKingdom","2012",".."
"ALB","OtherdevelopedEurope","2012",".."
"ALB","Monaco","2012",".."
"ALB","Norway","2012",".."
"ALB","Switzerland","2012",".."
"ALB","NorthAmerica","2012",".."
"ALB","Canada","2012",".."
"ALB","UnitedStates","2012",".."
"ALB","Otherdevelopedcountries","2012",".."
"ALB","Israel","2012",".."
"ALB","Developingeconomies","2012",".."
"ALB","Africa","2012",".."
"ALB","NorthAfrica","2012",".."
"ALB","Egypt","2012",".."
"ALB","Asia","2012",".."
"ALB","EastAsia","2012",".."
"ALB","China","2012",".."
"ALB","WestAsia","2012",".."
"ALB","Kuwait","2012",".."
"ALB","Lebanon","2012",".."
"ALB","SaudiArabia","2012",".."
"ALB","Turkey","2012",".."
"ALB","UnitedArabEmirates","2012",".."
"ALB","Transitioneconomies","2012",".."
"ALB","South-EastEurope","2012",".."
"ALB","Montenegro","2012",".."
"ALB","TheFYRofMacedonia","2012",".."
"ALB","Yugoslavia(former)","2012",".."
"ALB","Unspecified","2012",".."
"DZA","Belgium","2001","0"
"DZA","Canada","2001","35.7905312068316"
"DZA","China","2001","0"
"DZA","Cyprus","2001","0"
"DZA","Denmark","2001","0"
"DZA","France","2001","133.075994324441"
"DZA","Germany","2001","44.946196758586"
"DZA","Greece","2001","0"
"DZA","India","2001","0"
"DZA","Italy","2001","0"
"DZA","Korea,Republicof","2001","92.776628"
"DZA","Morocco","2001","0"
"DZA","NewZealand","2001","0"
"DZA","Norway","2001","0"
"DZA","Portugal","2001","0"
"DZA","Spain","2001","0"
"DZA","Turkey","2001","0"
"DZA","UnitedStates","2001","3629"
"DZA","Belgium","2002","0"
"DZA","Canada","2002",".."
"DZA","China","2002","0"
"DZA","Cyprus","2002","0"
"DZA","Denmark","2002","0"
"DZA","France","2002","101.723852250824"
"DZA","Germany","2002","48.2401773560607"
"DZA","Greece","2002","0"
"DZA","India","2002","0"
"DZA","Italy","2002","0"
"DZA","Korea,Republicof","2002","92.776628"
"DZA","Morocco","2002","0"
"DZA","NewZealand","2002","0"
"DZA","Norway","2002","0"
"DZA","Portugal","2002","0"
"DZA","Spain","2002","0"
"DZA","Turkey","2002","26"
"DZA","UnitedStates","2002","3384"
"DZA","Belgium","2003","0"
"DZA","Canada","2003","60.3528319405757"
"DZA","China","2003","5.7"
"DZA","Cyprus","2003","0"
"DZA","Denmark","2003","0"
"DZA","France","2003","212.183902819773"
"DZA","Germany","2003","70.7279676065908"
"DZA","Greece","2003","0"
"DZA","India","2003","0"
"DZA","Italy","2003","0"
"DZA","Korea,Republicof","2003","92.776628"
"DZA","Morocco","2003","1.07429799197705"
"DZA","NewZealand","2003","0"
"DZA","Norway","2003","1047.60479041916"
"DZA","Portugal","2003","0"
"DZA","Spain","2003","0"
"DZA","Turkey","2003","26"
"DZA","UnitedStates","2003","4080"
"DZA","Belgium","2004","0"
"DZA","Canada","2004",".."
"DZA","China","2004","34.49"
"DZA","Cyprus","2004","13.2655007082925"
"DZA","Denmark","2004","384.080766698369"
"DZA","France","2004","231.55715375395"
