"area","Reporting Economy","Year","value"
"ARG","Portugal","2002","0"
"ARG","SaudiArabia","2002","0"
"ARG","Slovakia","2002","0"
"ARG","SouthAfrica","2002","9.49074074074074"
"ARG","Spain","2002","0"
"ARG","UnitedStates","2002","989"
"ARG","Uruguay","2002","0"
"ARG","Venezuela","2002","1030.695217"
"ARG","Belgium","2003","0"
"ARG","Brazil","2003","0"
"ARG","Bulgaria","2003","0"
"ARG","Cambodia","2003","0.964"
"ARG","Canada","2003","4.64252553389044"
"ARG","Chile","2003","0"
"ARG","CzechRepublic","2003",".."
"ARG","Denmark","2003","0"
"ARG","Estonia","2003","0"
"ARG","France","2003","294.27886522028"
"ARG","Germany","2003","13.8929936370089"
"ARG","Hungary","2003","0"
"ARG","Italy","2003","166.715923644107"
"ARG","Korea,Republicof","2003","0"
"ARG","Mexico","2003","0"
"ARG","Netherlands","2003","10.1039953723701"
"ARG","Norway","2003","0"
"ARG","Panama","2003","0"
"ARG","Paraguay","2003","82.759"
"ARG","Peru","2003","28.55"
"ARG","Poland","2003","6.93586568935695"
"ARG","Portugal","2003","-0.604976722920661"
"ARG","SaudiArabia","2003","0"
"ARG","Slovakia","2003","0"
"ARG","SouthAfrica","2003","15.5120481927711"
"ARG","Spain","2003","294.27886522028"
"ARG","UnitedStates","2003","599"
"ARG","Uruguay","2003","0"
"ARG","Venezuela","2003","0"
"ARG","Belgium","2004","0"
"ARG","Brazil","2004","0"
"ARG","Bulgaria","2004","0"
"ARG","Cambodia","2004","0.964"
"ARG","Canada","2004","4.15420405450316"
"ARG","Chile","2004","0"
"ARG","CzechRepublic","2004",".."
"ARG","Denmark","2004","528.385397615041"
"ARG","Estonia","2004","0"
"ARG","France","2004","256.07497003378"
"ARG","Germany","2004",".."
"ARG","Hungary","2004","0"
"ARG","Italy","2004","261.52337365152"
"ARG","Korea,Republicof","2004","0.861"
"ARG","Mexico","2004","0"
"ARG","Netherlands","2004","16.34521085322"
"ARG","Norway","2004","0"
"ARG","Panama","2004","0"
"ARG","Paraguay","2004","69.819"
"ARG","Peru","2004","28.55"
"ARG","Poland","2004","5.4562889868899"
"ARG","Portugal","2004","0"
"ARG","SaudiArabia","2004","0"
"ARG","Slovakia","2004","0"
"ARG","SouthAfrica","2004","22.3801065719361"
"ARG","Spain","2004","347.335730630925"
"ARG","UnitedStates","2004","466"
"ARG","Uruguay","2004","0"
"ARG","Venezuela","2004","0"
